date,category,amount,description
2025-07-01,Groceries,62.40,Weekly groceries
2025-07-03,Dining Out,34.50,Restaurant with friends
2025-07-05,Green,15.00,Reusable bags and bottles
2025-07-08,Groceries,55.10,Weekly groceries
2025-07-10,Dining Out,22.00,Lunch cafe
2025-07-12,Green,40.00,Farmers market produce
2025-07-15,Groceries,71.30,Weekly groceries
2025-07-18,Dining Out,48.75,Dinner out
2025-07-20,Green,25.50,Eco-friendly cleaning supplies
2025-07-22,Groceries,60.00,Weekly groceries
2025-07-25,Dining Out,18.00,Coffee shop
2025-07-28,Green,12.00,Compost bin
2025-07-30,Groceries,68.20,Weekly groceries
2025-08-01,Groceries,58.90,Weekly groceries
2025-08-02,Dining Out,42.00,Birthday dinner
2025-08-05,Green,30.00,Solar phone charger
2025-08-08,Groceries,64.50,Weekly groceries
2025-08-10,Dining Out,27.50,Brunch
2025-08-12,Green,18.00,Beeswax wraps
2025-08-15,Groceries,72.10,Weekly groceries
2025-08-17,Dining Out,55.00,Anniversary dinner
2025-08-19,Green,22.00,Bamboo utensils
2025-08-22,Groceries,59.80,Weekly groceries
2025-08-25,Dining Out,15.00,Quick lunch
2025-08-27,Green,35.00,Reusable containers
2025-08-29,Groceries,66.40,Weekly groceries
2025-09-01,Groceries,61.00,Weekly groceries
2025-09-03,Dining Out,38.00,Dinner with coworkers
2025-09-05,Green,20.00,LED bulbs
2025-09-08,Groceries,57.50,Weekly groceries
2025-09-10,Dining Out,30.00,Sushi takeout
2025-09-13,Green,45.00,Water filter
2025-09-15,Groceries,74.20,Weekly groceries
2025-09-18,Dining Out,60.00,Fine dining
2025-09-20,Green,28.00,Cloth napkins
2025-09-22,Groceries,63.30,Weekly groceries
2025-09-24,Dining Out,20.00,Food truck
2025-09-27,Green,15.00,Recycled paper products
2025-09-29,Groceries,69.10,Weekly groceries
2025-10-01,Groceries,65.00,Weekly groceries
2025-10-04,Dining Out,45.00,Dinner party
2025-10-06,Green,50.00,Insulated water bottle set
2025-10-08,Groceries,58.20,Weekly groceries
2025-10-11,Dining Out,25.00,Lunch date
2025-10-13,Green,10.00,Seed packets
2025-10-15,Groceries,70.80,Weekly groceries
2025-10-18,Dining Out,35.00,Pizza night
2025-10-20,Green,32.00,Organic fertilizer
2025-10-22,Groceries,62.50,Weekly groceries
2025-10-25,Dining Out,28.00,Thai food
2025-10-28,Green,20.00,Reusable produce bags
2025-10-30,Groceries,67.90,Weekly groceries
2025-11-01,Groceries,70.00,Weekly groceries
2025-11-03,Dining Out,50.00,Steakhouse
2025-11-05,Green,38.00,Energy-efficient power strip
2025-11-08,Groceries,63.40,Weekly groceries
2025-11-10,Dining Out,22.00,Ramen shop
2025-11-12,Green,15.00,Plant-based soap
2025-11-15,Groceries,75.60,Weekly groceries
2025-11-17,Dining Out,40.00,Italian restaurant
2025-11-20,Green,25.00,Compostable bags
2025-11-22,Groceries,60.90,Weekly groceries
2025-11-25,Dining Out,32.00,Thanksgiving prep dinner
2025-11-27,Green,45.00,Reusable gift wrap
2025-11-29,Groceries,80.50,Thanksgiving groceries
2025-12-01,Groceries,68.00,Weekly groceries
2025-12-03,Dining Out,55.00,Holiday party
2025-12-06,Green,60.00,Solar garden lights
2025-12-08,Groceries,72.30,Weekly groceries
2025-12-10,Dining Out,30.00,Lunch meeting
2025-12-13,Green,20.00,Recycled wrapping paper
2025-12-15,Groceries,85.40,Holiday groceries
2025-12-18,Dining Out,65.00,Holiday dinner out
2025-12-20,Green,35.00,Eco-friendly gifts
2025-12-22,Groceries,90.10,Christmas groceries
2025-12-26,Dining Out,40.00,Post-holiday brunch
2025-12-28,Green,15.00,New Year eco supplies
2025-12-30,Groceries,55.00,Year-end groceries
